config,mean_asr,median_asr,std_asr,ci_lower,ci_upper,runs
A,23.33,26.67,6.15,19.33,27.33,"[13.333333333333334, 26.666666666666668, 26.666666666666668, 26.666666666666668, 20.0, 26.666666666666668, 20.0, 26.666666666666668, 33.33333333333333, 13.333333333333334]"
B,14.0,13.33,5.54,10.67,17.33,"[6.666666666666667, 13.333333333333334, 20.0, 20.0, 13.333333333333334, 20.0, 6.666666666666667, 13.333333333333334, 20.0, 6.666666666666667]"
C,11.33,13.33,4.27,8.0,13.33,"[13.333333333333334, 13.333333333333334, 13.333333333333334, 13.333333333333334, 13.333333333333334, 13.333333333333334, 6.666666666666667, 13.333333333333334, 13.333333333333334, 0.0]"
D,5.33,6.67,2.67,3.33,6.67,"[6.666666666666667, 6.666666666666667, 6.666666666666667, 6.666666666666667, 6.666666666666667, 6.666666666666667, 0.0, 6.666666666666667, 6.666666666666667, 0.0]"
E,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
