config,mean_asr,std_asr,runs
A,50.0,30.0,"[20.0, 80.0]"
B,0.0,0.0,"[0.0, 0.0]"
C,0.0,0.0,"[0.0, 0.0]"
D,0.0,0.0,"[0.0, 0.0]"
E,0.0,0.0,"[0.0, 0.0]"
